,song,artist,peak_rank,rank_last_week,weeks_on_chart,rank,date
4877,Down To The Honkytonk,Jake Owen,75,75,3,78,2019-01-26
4878,Let Me Down Slowly,Alec Benjamin + Alessia Cara,79,0,1,79,2019-01-26
4879,Jumpin On A Jet,Future,80,0,1,80,2019-01-26
4880,Love Someone,Lukas Graham,81,82,3,81,2019-01-26
4881,Body,Loud Luxury Featuring Brando,80,80,3,82,2019-01-26
4882,Fine China,Future & Juice WRLD,26,72,13,83,2019-01-26
4883,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,63,86,6,84,2019-01-26
4884,BAD!,XXXTENTACION,16,77,10,85,2019-01-26
4885,Love Wins,Carrie Underwood,83,85,3,86,2019-01-26
4886,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,87,91,3,87,2019-01-26
4887,Space Cadet,Metro Boomin Featuring Gunna,51,83,6,88,2019-01-26
4888,Butterfly Doors,Lil Pump,81,81,2,89,2019-01-26
4889,Valuable Pain,YoungBoy Never Broke Again,87,87,2,90,2019-01-26
4890,Blue Tacoma,Russell Dickerson,52,79,18,91,2019-01-26
4891,Close Friends,Lil Baby,28,89,14,92,2019-01-26
4892,Can't Leave Without It,21 Savage,58,70,4,93,2019-01-26
4893,Good Form,Nicki Minaj Featuring Lil Wayne,60,94,6,94,2019-01-26
4894,Here Tonight,Brett Young,88,88,3,95,2019-01-26
4895,idontwannabeyouanymore,Billie Eilish,96,98,3,96,2019-01-26
4896,Ocean Eyes,Billie Eilish,96,97,5,97,2019-01-26
4897,Burn Out,Midland,92,93,3,98,2019-01-26
4898,Splashin,Rich The Kid,99,0,1,99,2019-01-26
4899,Make It Sweet,Old Dominion,92,92,3,100,2019-01-26
4700,7 Rings,Ariana Grande,1,0,1,1,2019-02-02
4701,Without Me,Halsey,1,1,16,2,2019-02-02
4702,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,2,14,3,2019-02-02
4703,"Thank U, Next",Ariana Grande,1,5,12,4,2019-02-02
4704,Sicko Mode,Travis Scott,1,3,25,5,2019-02-02
4705,High Hopes,Panic! At The Disco,4,4,25,6,2019-02-02
4706,Happier,Marshmello & Bastille,3,6,23,7,2019-02-02
4707,Wow.,Post Malone,8,9,5,8,2019-02-02
4708,Girls Like You,Maroon 5 Featuring Cardi B,1,7,35,9,2019-02-02
4709,Drip Too Hard,Lil Baby & Gunna,4,8,19,10,2019-02-02
4710,Eastside,"benny blanco, Halsey & Khalid",9,11,28,11,2019-02-02
4711,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,10,15,12,2019-02-02
4712,Money,Cardi B,13,13,14,13,2019-02-02
4713,Going Bad,Meek Mill Featuring Drake,6,17,8,14,2019-02-02
4714,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,12,19,15,2019-02-02
4715,Mo Bamba,Sheck Wes,6,14,22,16,2019-02-02
4716,Youngblood,5 Seconds Of Summer,7,16,34,17,2019-02-02
4717,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,19,17,18,2019-02-02
4718,MIA,Bad Bunny Featuring Drake,5,20,15,19,2019-02-02
4719,Better Now,Post Malone,3,15,39,20,2019-02-02
4720,Leave Me Alone,Flipp Dinero,21,21,19,21,2019-02-02
4721,Breathin,Ariana Grande,12,18,23,22,2019-02-02
4722,Better,Khalid,22,22,19,23,2019-02-02
4723,Shallow,Lady Gaga & Bradley Cooper,5,24,17,24,2019-02-02
4724,Lucid Dreams,Juice WRLD,2,23,37,25,2019-02-02
4725,Middle Child,J. Cole,26,0,1,26,2019-02-02
4726,Beautiful,Bazzi Featuring Camila Cabello,26,26,25,27,2019-02-02
4727,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,28,32,10,28,2019-02-02
4728,Twerk,City Girls Featuring Cardi B,29,54,3,29,2019-02-02
4729,Trip,Ella Mai,11,29,25,30,2019-02-02
4730,Speechless,Dan + Shay,24,25,20,31,2019-02-02
4731,Love Lies,Khalid & Normani,9,28,49,32,2019-02-02
4732,Lost In The Fire,Gesaffelstein & The Weeknd,27,27,2,33,2019-02-02
4733,A Lot,21 Savage,33,34,5,34,2019-02-02
4734,Sweet But Psycho,Ava Max,35,36,6,35,2019-02-02
4735,Baby Shark,Pinkfong,32,37,4,36,2019-02-02
4736,I Like It,"Cardi B, Bad Bunny & J Balvin",1,30,42,37,2019-02-02
4737,Keanu Reeves,Logic,38,0,1,38,2019-02-02
4738,You Say,Lauren Daigle,34,35,28,39,2019-02-02
4739,Backin' It Up,Pardison Fontaine Featuring Cardi B,40,45,15,40,2019-02-02
4740,Dancing With A Stranger,Sam Smith & Normani,33,33,2,41,2019-02-02
4741,Beautiful Crazy,Luke Combs,41,42,11,42,2019-02-02
4742,Crushed Up,Future,43,59,3,43,2019-02-02
4743,Look Back At It,A Boogie Wit da Hoodie,40,40,7,44,2019-02-02
4744,Envy Me,Calboy,41,41,6,45,2019-02-02
4745,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,39,5,46,2019-02-02
4746,First Off,Future Featuring Travis Scott,47,0,1,47,2019-02-02
4747,Burning Man,Dierks Bentley Featuring Brothers Osborne,45,47,14,48,2019-02-02
4748,Sixteen,Thomas Rhett,42,43,11,49,2019-02-02
4749,Natural,Imagine Dragons,13,31,27,50,2019-02-02
4750,Girl Like You,Jason Aldean,46,46,9,51,2019-02-02
4751,Be Alright,Dean Lewis,40,44,13,52,2019-02-02
4752,This Is It,Scotty McCreery,52,52,7,53,2019-02-02
4753,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,43,50,8,54,2019-02-02
4754,Undecided,Chris Brown,35,56,3,55,2019-02-02
4755,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,50,51,15,56,2019-02-02
4756,Jumpin On A Jet,Future,57,80,2,57,2019-02-02
4757,Good Girl,Dustin Lynch,44,53,11,58,2019-02-02
4758,Uproar,Lil Wayne,7,49,17,59,2019-02-02
4759,Best Shot,Jimmie Allen,37,48,19,60,2019-02-02
4760,Ella Quiere Beber,Anuel AA & Romeo Santos,61,66,12,61,2019-02-02
4761,Calling My Spirit,Kodak Black,46,55,8,62,2019-02-02
4762,Armed And Dangerous,Juice WRLD,44,58,11,63,2019-02-02
4763,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,28,62,13,64,2019-02-02
4764,Never Stop,Future,65,0,1,65,2019-02-02
4765,Thotiana,Blueface,66,75,2,66,2019-02-02
4766,You,Jacquees,58,61,9,67,2019-02-02
4767,Secreto,Anuel AA & Karol G,68,0,1,68,2019-02-02
4768,No Stylist,French Montana Featuring Drake,47,63,18,69,2019-02-02
4769,What Makes You Country,Luke Bryan,70,73,4,70,2019-02-02
4770,Mixed Personalities,YNW Melly Featuring Kanye West,71,0,1,71,2019-02-02
4771,Consequences,Camila Cabello,51,60,12,72,2019-02-02
4772,Millionaire,Chris Stapleton,67,71,7,73,2019-02-02
4773,Yosemite,Travis Scott,25,70,14,74,2019-02-02
4774,Saturday Nights,Khalid & Kane Brown,57,57,3,75,2019-02-02
4775,Temptation,Future,76,0,1,76,2019-02-02
4776,Ruin My Life,Zara Larsson,76,77,4,77,2019-02-02
4777,Take It From Me,Jordan Davis,69,76,4,78,2019-02-02
4778,Rocket Ship,Future,79,0,1,79,2019-02-02
4779,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,59,65,5,80,2019-02-02
4780,Pure Water,Mustard & Migos,81,0,1,81,2019-02-02
4781,Lovely,Billie Eilish & Khalid,64,64,13,82,2019-02-02
4782,F&N,Future,83,0,1,83,2019-02-02
4783,Down To The Honkytonk,Jake Owen,75,78,4,84,2019-02-02
4784,Body,Loud Luxury Featuring Brando,80,82,4,85,2019-02-02
4785,Love Someone,Lukas Graham,81,81,4,86,2019-02-02
4786,When The Party's Over,Billie Eilish,52,74,14,87,2019-02-02
4787,Nights Like This,Kehlani Featuring Ty Dolla $ign,69,69,2,88,2019-02-02
4788,Pure Cocaine,Lil Baby,46,67,7,89,2019-02-02
4789,Electricity,Silk City x Dua Lipa,62,68,10,90,2019-02-02
4790,On My Way To You,Cody Johnson,91,0,1,91,2019-02-02
4791,Make It Sweet,Old Dominion,92,100,4,92,2019-02-02
4792,Love Wins,Carrie Underwood,83,86,4,93,2019-02-02
4793,Talk To Me,Tory Lanez & Rich The Kid,43,72,13,94,2019-02-02
4794,Murder On My Mind,YNW Melly,95,0,1,95,2019-02-02
4795,GIRL,Maren Morris,96,0,1,96,2019-02-02
4796,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,87,87,4,97,2019-02-02
4797,Face My Fears,Hikaru Utada & Skrillex,98,0,1,98,2019-02-02
4798,Imagine,Ariana Grande,24,0,5,99,2019-02-02
4799,Call The Coroner,Future,100,0,1,100,2019-02-02
4600,7 Rings,Ariana Grande,1,1,2,1,2019-02-09
4601,Without Me,Halsey,1,2,17,2,2019-02-09
4602,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,3,15,3,2019-02-09
4603,Middle Child,J. Cole,4,26,2,4,2019-02-09
4604,Sicko Mode,Travis Scott,1,5,26,5,2019-02-09
4605,"Thank U, Next",Ariana Grande,1,4,13,6,2019-02-09
4606,High Hopes,Panic! At The Disco,4,6,26,7,2019-02-09
4607,Happier,Marshmello & Bastille,3,7,24,8,2019-02-09
4608,Wow.,Post Malone,8,8,6,9,2019-02-09
4609,Girls Like You,Maroon 5 Featuring Cardi B,1,9,36,10,2019-02-09
4610,Eastside,"benny blanco, Halsey & Khalid",9,11,29,11,2019-02-09
4611,Drip Too Hard,Lil Baby & Gunna,4,10,20,12,2019-02-09
4612,Money,Cardi B,13,13,15,13,2019-02-09
4613,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,12,16,14,2019-02-09
4614,Going Bad,Meek Mill Featuring Drake,6,14,9,15,2019-02-09
4615,Shallow,Lady Gaga & Bradley Cooper,5,24,18,16,2019-02-09
4616,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,15,20,17,2019-02-09
4617,Mo Bamba,Sheck Wes,6,16,23,18,2019-02-09
4618,Better Now,Post Malone,3,20,40,19,2019-02-09
4619,Leave Me Alone,Flipp Dinero,20,21,20,20,2019-02-09
4620,Youngblood,5 Seconds Of Summer,7,17,35,21,2019-02-09
4621,MIA,Bad Bunny Featuring Drake,5,19,16,22,2019-02-09
4622,Better,Khalid,22,23,20,23,2019-02-09
4623,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,18,18,24,2019-02-09
4624,Breathin,Ariana Grande,12,22,24,25,2019-02-09
4625,A Lot,21 Savage,26,34,6,26,2019-02-09
4626,Lucid Dreams,Juice WRLD,2,25,38,27,2019-02-09
4627,Thotiana,Blueface,28,66,3,28,2019-02-09
4628,Tequila,Dan + Shay,21,0,39,29,2019-02-09
4629,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,28,28,11,30,2019-02-09
4630,Dancing With A Stranger,Sam Smith & Normani,31,41,3,31,2019-02-09
4631,Sweet But Psycho,Ava Max,32,35,7,32,2019-02-09
4632,Beautiful,Bazzi Featuring Camila Cabello,26,27,26,33,2019-02-09
4633,Speechless,Dan + Shay,24,31,21,34,2019-02-09
4634,Trip,Ella Mai,11,30,26,35,2019-02-09
4635,Baby Shark,Pinkfong,32,36,5,36,2019-02-09
4636,Love Lies,Khalid & Normani,9,32,50,37,2019-02-09
4637,Beautiful Crazy,Luke Combs,38,42,12,38,2019-02-09
4638,You Say,Lauren Daigle,34,39,29,39,2019-02-09
4639,Look Back At It,A Boogie Wit da Hoodie,40,44,8,40,2019-02-09
4640,I Like It,"Cardi B, Bad Bunny & J Balvin",1,37,43,41,2019-02-09
4641,Lost In The Fire,Gesaffelstein & The Weeknd,27,33,3,42,2019-02-09
4642,Envy Me,Calboy,41,45,7,43,2019-02-09
4643,Be Alright,Dean Lewis,40,52,14,44,2019-02-09
4644,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,46,6,45,2019-02-09
4645,Twerk,City Girls Featuring Cardi B,29,29,4,46,2019-02-09
4646,Backin' It Up,Pardison Fontaine Featuring Cardi B,40,40,16,47,2019-02-09
4647,Girl Like You,Jason Aldean,46,51,10,48,2019-02-09
4648,This Is It,Scotty McCreery,49,53,8,49,2019-02-09
4649,Sixteen,Thomas Rhett,42,49,12,50,2019-02-09
4650,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,43,54,9,51,2019-02-09
4651,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,50,56,16,52,2019-02-09
4652,Burning Man,Dierks Bentley Featuring Brothers Osborne,45,48,15,53,2019-02-09
4653,Undecided,Chris Brown,35,55,4,54,2019-02-09
4654,Best Shot,Jimmie Allen,37,60,20,55,2019-02-09
4655,Pure Cocaine,Lil Baby,46,89,8,56,2019-02-09
4656,First Off,Future Featuring Travis Scott,47,47,2,57,2019-02-09
4657,Uproar,Lil Wayne,7,59,18,58,2019-02-09
4658,Good Girl,Dustin Lynch,44,58,12,59,2019-02-09
4659,Armed And Dangerous,Juice WRLD,44,63,12,60,2019-02-09
4660,Saturday Nights,Khalid & Kane Brown,57,75,4,61,2019-02-09
4661,Keanu Reeves,Logic,38,38,2,62,2019-02-09
4662,You,Jacquees,58,67,10,63,2019-02-09
4663,Calling My Spirit,Kodak Black,46,62,9,64,2019-02-09
4664,Put A Date On It,Yo Gotti Featuring Lil Baby,65,0,1,65,2019-02-09
4665,No Stylist,French Montana Featuring Drake,47,69,19,66,2019-02-09
4666,Ella Quiere Beber,Anuel AA & Romeo Santos,61,61,13,67,2019-02-09
4667,Take It From Me,Jordan Davis,68,78,5,68,2019-02-09
4668,What Makes You Country,Luke Bryan,69,70,5,69,2019-02-09
4669,Millionaire,Chris Stapleton,67,73,8,70,2019-02-09
4670,Crushed Up,Future,43,43,4,71,2019-02-09
4671,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,28,64,14,72,2019-02-09
4672,Mixed Personalities,YNW Melly Featuring Kanye West,71,71,2,73,2019-02-09
4673,Bury A Friend,Billie Eilish,74,0,1,74,2019-02-09
4674,Yosemite,Travis Scott,25,74,15,75,2019-02-09
4675,When The Party's Over,Billie Eilish,52,87,15,76,2019-02-09
4676,Secreto,Anuel AA & Karol G,68,68,2,77,2019-02-09
4677,Murder On My Mind,YNW Melly,78,95,2,78,2019-02-09
4678,Ruin My Life,Zara Larsson,76,77,5,79,2019-02-09
4679,Love Someone,Lukas Graham,80,86,5,80,2019-02-09
4680,Lovely,Billie Eilish & Khalid,64,82,14,81,2019-02-09
4681,Down To The Honkytonk,Jake Owen,75,84,5,82,2019-02-09
4682,Nights Like This,Kehlani Featuring Ty Dolla $ign,69,88,3,83,2019-02-09
4683,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,59,80,6,84,2019-02-09
4684,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,85,97,5,85,2019-02-09
4685,I'm So Tired...,Lauv & Troye Sivan,86,0,1,86,2019-02-09
4686,Body,Loud Luxury Featuring Brando,80,85,5,87,2019-02-09
4687,Shot Clock,Ella Mai,88,0,1,88,2019-02-09
4688,Sauce!,XXXTENTACION,89,0,1,89,2019-02-09
4689,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,90,0,1,90,2019-02-09
4690,Love Wins,Carrie Underwood,83,93,5,91,2019-02-09
4691,Splashin,Rich The Kid,92,0,2,92,2019-02-09
4692,Make It Sweet,Old Dominion,92,92,5,93,2019-02-09
4693,Talk To Me,Tory Lanez & Rich The Kid,43,94,14,94,2019-02-09
4694,Burn Out,Midland,92,0,4,95,2019-02-09
4695,Here Tonight,Brett Young,88,0,4,96,2019-02-09
4696,BAD!,XXXTENTACION,16,0,11,97,2019-02-09
4697,Night Shift,Jon Pardi,98,0,1,98,2019-02-09
4698,Blue Tacoma,Russell Dickerson,52,0,19,99,2019-02-09
4699,Let Me Down Slowly,Alec Benjamin + Alessia Cara,79,0,2,100,2019-02-09
4500,7 Rings,Ariana Grande,1,1,3,1,2019-02-16
4501,Happier,Marshmello & Bastille,2,8,25,2,2019-02-16
4502,Without Me,Halsey,1,2,18,3,2019-02-16
4503,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,3,16,4,2019-02-16
4504,Sicko Mode,Travis Scott,1,5,27,5,2019-02-16
4505,High Hopes,Panic! At The Disco,4,7,27,6,2019-02-16
4506,"Thank U, Next",Ariana Grande,1,6,14,7,2019-02-16
4507,Middle Child,J. Cole,4,4,3,8,2019-02-16
4508,Wow.,Post Malone,8,9,7,9,2019-02-16
4509,Girls Like You,Maroon 5 Featuring Cardi B,1,10,37,10,2019-02-16
4510,Eastside,"benny blanco, Halsey & Khalid",9,11,30,11,2019-02-16
4511,A Lot,21 Savage,12,26,7,12,2019-02-16
4512,Drip Too Hard,Lil Baby & Gunna,4,12,21,13,2019-02-16
4513,Bury A Friend,Billie Eilish,14,74,2,14,2019-02-16
4514,Going Bad,Meek Mill Featuring Drake,6,15,10,15,2019-02-16
4515,Money,Cardi B,13,13,16,16,2019-02-16
4516,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,14,17,17,2019-02-16
4517,Better,Khalid,18,23,21,18,2019-02-16
4518,MIA,Bad Bunny Featuring Drake,5,22,17,19,2019-02-16
4519,Thotiana,Blueface,20,28,4,20,2019-02-16
4520,Better Now,Post Malone,3,19,41,21,2019-02-16
4521,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,17,21,22,2019-02-16
4522,Youngblood,5 Seconds Of Summer,7,21,36,23,2019-02-16
4523,Shallow,Lady Gaga & Bradley Cooper,5,16,19,24,2019-02-16
4524,Leave Me Alone,Flipp Dinero,20,20,21,25,2019-02-16
4525,Dancing With A Stranger,Sam Smith & Normani,26,31,4,26,2019-02-16
4526,Mo Bamba,Sheck Wes,6,18,24,27,2019-02-16
4527,Alone,Marshmello,28,0,11,28,2019-02-16
4528,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,24,19,29,2019-02-16
4529,Sweet But Psycho,Ava Max,30,32,8,30,2019-02-16
4530,Tequila,Dan + Shay,21,29,40,31,2019-02-16
4531,Look Back At It,A Boogie Wit da Hoodie,32,40,9,32,2019-02-16
4532,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,28,30,12,33,2019-02-16
4533,Lucid Dreams,Juice WRLD,2,27,39,34,2019-02-16
4534,Breathin,Ariana Grande,12,25,25,35,2019-02-16
4535,Beautiful Crazy,Luke Combs,36,38,13,36,2019-02-16
4536,You Say,Lauren Daigle,34,39,30,37,2019-02-16
4537,Trip,Ella Mai,11,35,27,38,2019-02-16
4538,I Like It,"Cardi B, Bad Bunny & J Balvin",1,41,44,39,2019-02-16
4539,Baby Shark,Pinkfong,32,36,6,40,2019-02-16
4540,Love Lies,Khalid & Normani,9,37,51,41,2019-02-16
4541,This Is It,Scotty McCreery,42,49,9,42,2019-02-16
4542,Be Alright,Dean Lewis,40,44,15,43,2019-02-16
4543,Speechless,Dan + Shay,24,34,22,44,2019-02-16
4544,Envy Me,Calboy,41,43,8,45,2019-02-16
4545,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,45,7,46,2019-02-16
4546,Beautiful,Bazzi Featuring Camila Cabello,26,33,27,47,2019-02-16
4547,Backin' It Up,Pardison Fontaine Featuring Cardi B,40,47,17,48,2019-02-16
4548,Lost In The Fire,Gesaffelstein & The Weeknd,27,42,4,49,2019-02-16
4549,Twerk,City Girls Featuring Cardi B,29,46,5,50,2019-02-16
4550,Girl Like You,Jason Aldean,46,48,11,51,2019-02-16
4551,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,50,52,17,52,2019-02-16
4552,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,43,51,10,53,2019-02-16
4553,Undecided,Chris Brown,35,54,5,54,2019-02-16
4554,Sixteen,Thomas Rhett,42,50,13,55,2019-02-16
4555,One Call,Gunna,56,0,1,56,2019-02-16
4556,Pure Cocaine,Lil Baby,46,56,9,57,2019-02-16
4557,Take It From Me,Jordan Davis,58,68,6,58,2019-02-16
4558,Put A Date On It,Yo Gotti Featuring Lil Baby,59,65,2,59,2019-02-16
4559,Burning Man,Dierks Bentley Featuring Brothers Osborne,45,53,16,60,2019-02-16
4560,When The Party's Over,Billie Eilish,52,76,16,61,2019-02-16
4561,Armed And Dangerous,Juice WRLD,44,60,13,62,2019-02-16
4562,What Makes You Country,Luke Bryan,63,69,6,63,2019-02-16
4563,Pure Water,Mustard & Migos,64,0,2,64,2019-02-16
4564,Uproar,Lil Wayne,7,58,19,65,2019-02-16
4565,Lovely,Billie Eilish & Khalid,64,81,15,66,2019-02-16
4566,Calling My Spirit,Kodak Black,46,64,10,67,2019-02-16
4567,Ella Quiere Beber,Anuel AA & Romeo Santos,61,67,14,68,2019-02-16
4568,Millionaire,Chris Stapleton,67,70,9,69,2019-02-16
4569,You,Jacquees,58,63,11,70,2019-02-16
4570,Good Girl,Dustin Lynch,44,59,13,71,2019-02-16
4571,Love Someone,Lukas Graham,72,80,6,72,2019-02-16
4572,Murder On My Mind,YNW Melly,73,78,3,73,2019-02-16
4573,Down To The Honkytonk,Jake Owen,74,82,6,74,2019-02-16
4574,Saturday Nights,Khalid & Kane Brown,57,61,5,75,2019-02-16
4575,Nights Like This,Kehlani Featuring Ty Dolla $ign,69,83,4,76,2019-02-16
4576,Yosemite,Travis Scott,25,75,16,77,2019-02-16
4577,Ruin My Life,Zara Larsson,76,79,6,78,2019-02-16
4578,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,28,72,15,79,2019-02-16
4579,First Off,Future Featuring Travis Scott,47,57,3,80,2019-02-16
4580,Body,Loud Luxury Featuring Brando,80,87,6,81,2019-02-16
4581,Shot Clock,Ella Mai,82,88,2,82,2019-02-16
4582,Talk To Me,Tory Lanez & Rich The Kid,43,94,15,83,2019-02-16
4583,Love Wins,Carrie Underwood,83,91,6,84,2019-02-16
4584,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,59,84,7,85,2019-02-16
4585,Mixed Personalities,YNW Melly Featuring Kanye West,71,73,3,86,2019-02-16
4586,Make It Sweet,Old Dominion,87,93,6,87,2019-02-16
4587,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,85,85,6,88,2019-02-16
4588,Here Tonight,Brett Young,88,96,5,89,2019-02-16
4589,Splashin,Rich The Kid,90,92,3,90,2019-02-16
4590,Keanu Reeves,Logic,38,62,3,91,2019-02-16
4591,No Stylist,French Montana Featuring Drake,47,66,20,92,2019-02-16
4592,Burn Out,Midland,92,95,5,93,2019-02-16
4593,Let Me Down Slowly,Alec Benjamin + Alessia Cara,79,100,3,94,2019-02-16
4594,Miss Me More,Kelsea Ballerini,95,0,1,95,2019-02-16
4595,Ocean Eyes,Billie Eilish,96,0,6,96,2019-02-16
4596,Crushed Up,Future,43,71,5,97,2019-02-16
4597,Night Shift,Jon Pardi,98,98,2,98,2019-02-16
4598,Close Friends,Lil Baby,28,0,15,99,2019-02-16
4599,On My Way To You,Cody Johnson,91,0,2,100,2019-02-16
4400,7 Rings,Ariana Grande,1,1,4,1,2019-02-23
4401,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2,0,1,2,2019-02-23
4402,"Thank U, Next",Ariana Grande,1,7,15,3,2019-02-23
4403,Without Me,Halsey,1,3,19,4,2019-02-23
4404,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,4,17,5,2019-02-23
4405,Happier,Marshmello & Bastille,2,2,26,6,2019-02-23
4406,Sicko Mode,Travis Scott,1,5,28,7,2019-02-23
4407,High Hopes,Panic! At The Disco,4,6,28,8,2019-02-23
4408,Wow.,Post Malone,8,9,8,9,2019-02-23
4409,Eastside,"benny blanco, Halsey & Khalid",9,11,31,10,2019-02-23
4410,Middle Child,J. Cole,4,8,4,11,2019-02-23
4411,Girls Like You,Maroon 5 Featuring Cardi B,1,10,38,12,2019-02-23
4412,Going Bad,Meek Mill Featuring Drake,6,15,11,13,2019-02-23
4413,Needy,Ariana Grande,14,0,1,14,2019-02-23
4414,A Lot,21 Savage,12,12,8,15,2019-02-23
4415,Drip Too Hard,Lil Baby & Gunna,4,13,22,16,2019-02-23
4416,NASA,Ariana Grande,17,0,1,17,2019-02-23
4417,Shallow,Lady Gaga & Bradley Cooper,5,24,20,18,2019-02-23
4418,Money,Cardi B,13,16,17,19,2019-02-23
4419,Thotiana,Blueface,20,20,5,20,2019-02-23
4420,Imagine,Ariana Grande,21,0,6,21,2019-02-23
4421,Bloodline,Ariana Grande,22,0,1,22,2019-02-23
4422,Better,Khalid,18,18,22,23,2019-02-23
4423,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,17,18,24,2019-02-23
4424,Ghostin,Ariana Grande,25,0,1,25,2019-02-23
4425,Fake Smile,Ariana Grande,26,0,1,26,2019-02-23
4426,Bad Idea,Ariana Grande,27,0,1,27,2019-02-23
4427,MIA,Bad Bunny Featuring Drake,5,19,18,28,2019-02-23
4428,Better Now,Post Malone,3,21,42,29,2019-02-23
4429,Dancing With A Stranger,Sam Smith & Normani,26,26,5,30,2019-02-23
4430,Tequila,Dan + Shay,21,31,41,31,2019-02-23
4431,Bury A Friend,Billie Eilish,14,14,3,32,2019-02-23
4432,Leave Me Alone,Flipp Dinero,20,25,22,33,2019-02-23
4433,Youngblood,5 Seconds Of Summer,7,23,37,34,2019-02-23
4434,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,22,22,35,2019-02-23
4435,Beautiful Crazy,Luke Combs,36,36,14,36,2019-02-23
4436,Sweet But Psycho,Ava Max,30,30,9,37,2019-02-23
4437,In My Head,Ariana Grande,38,0,1,38,2019-02-23
4438,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,29,20,39,2019-02-23
4439,You Say,Lauren Daigle,34,37,31,40,2019-02-23
4440,Mo Bamba,Sheck Wes,6,27,25,41,2019-02-23
4441,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,28,33,13,42,2019-02-23
4442,Lucid Dreams,Juice WRLD,2,34,40,43,2019-02-23
4443,Talk,Khalid,44,0,1,44,2019-02-23
4444,I Like It,"Cardi B, Bad Bunny & J Balvin",1,39,45,45,2019-02-23
4445,Be Alright,Dean Lewis,40,43,16,46,2019-02-23
4446,Look Back At It,A Boogie Wit da Hoodie,32,32,10,47,2019-02-23
4447,Make Up,Ariana Grande,48,0,1,48,2019-02-23
4448,Baby Shark,Pinkfong,32,40,7,49,2019-02-23
4449,Envy Me,Calboy,41,45,9,50,2019-02-23
4450,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,46,8,51,2019-02-23
4451,This Is It,Scotty McCreery,42,42,10,52,2019-02-23
4452,Backin' It Up,Pardison Fontaine Featuring Cardi B,40,48,18,53,2019-02-23
4453,Twerk,City Girls Featuring Cardi B,29,50,6,54,2019-02-23
4454,Girl Like You,Jason Aldean,46,51,12,55,2019-02-23
4455,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,56,0,1,56,2019-02-23
4456,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,50,52,18,57,2019-02-23
4457,Lost In The Fire,Gesaffelstein & The Weeknd,27,49,5,58,2019-02-23
