,artist,song,weeks_on_chart,peak_rank
424,Future & Juice WRLD,Fine China,13,26
425,Future & Lil Uzi Vert,Bought A Bad Bitch,1,100
426,Future & Lil Uzi Vert,Drankin N Smokin,2,31
427,Future & Lil Uzi Vert,Marni On Me,1,64
428,Future & Lil Uzi Vert,Million Dollar Play,1,67
429,Future & Lil Uzi Vert,Plastic,1,86
430,Future & Lil Uzi Vert,Real Baby Pluto,1,54
431,Future & Lil Uzi Vert,Sleeping On The Floor,1,68
432,Future & Lil Uzi Vert,Stripes Like Burberry,1,46
433,Future & Lil Uzi Vert,That's It,1,50
434,Future Featuring Drake,Life Is Good,38,2
435,Future Featuring Lil Uzi Vert,All Bad,1,54
436,Future Featuring Travis Scott,First Off,3,47
437,Future Featuring Travis Scott,Solitaires,3,32
438,Future Featuring Young Thug,Harlem Shake,1,84
439,Future Featuring YoungBoy Never Broke Again,Trillionaire,4,34
440,"Future, Drake & Young Thug",D4L,2,19
441,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",PTSD,5,38
442,G-Eazy Featuring blackbear,Hate The Way,1,71
443,Gabby Barrett Featuring Charlie Puth,I Hope,51,3
444,Garth Brooks & Blake Shelton,Dive Bar,5,78
445,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),9,28
446,Gene Autry,Rudolph The Red-Nosed Reindeer,11,16
447,Gesaffelstein & The Weeknd,Lost In The Fire,6,27
448,Gucci Mane Featuring Kodak Black & London On Da Track,Big Boy Diamonds,1,100
449,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,26,11
450,Gunna,Argentina,1,67
451,Gunna,Feigning,1,98
452,Gunna,Gimmick,1,86
453,Gunna,MOTW,1,84
454,Gunna,Met Gala,1,70
455,Gunna,Nasty Girl / On Camera,1,78
456,Gunna,One Call,2,56
457,Gunna,Outstanding,1,70
458,Gunna,SkyBox,2,65
459,Gunna,Speed It Up,1,91
460,Gunna,Wit It,1,75
461,Gunna,Wunna,1,57
462,Gunna Featuring Lil Baby,Blindfold,1,59
463,Gunna Featuring Playboi Carti,Same Yung Nigga,1,97
464,Gunna Featuring Roddy Ricch,Cooler Than A Bitch,3,41
465,Gunna Featuring Travis Scott,Top Floor,1,55
466,Gunna Featuring Young Thug,3 Headed Snake,1,74
467,Gunna Featuring Young Thug,Dollaz On My Head,19,38
468,H.E.R.,Damage,1,70
469,H.E.R. Featuring YG,Slide,20,43
470,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,25,33
471,Halsey,Graveyard,20,34
472,Halsey,Nightmare,11,15
473,Halsey,Without Me,52,1
474,Halsey,You Should Be Sad,18,26
475,Harry Styles,Adore You,50,6
476,Harry Styles,Cherry,1,84
477,Harry Styles,Falling,1,62
478,Harry Styles,Golden,8,74
479,Harry Styles,Lights Up,5,17
480,Harry Styles,She,1,99
481,Harry Styles,Watermelon Sugar,37,1
482,Hikaru Utada & Skrillex,Face My Fears,1,98
483,Idina Menzel & AURORA,Into The Unknown,12,46
484,Idina Menzel & Evan Rachel Wood,Show Yourself,3,70
485,Iggy Azalea,Sally Walker,1,62
486,Imagine Dragons,Bad Liar,9,56
487,Imagine Dragons,Natural,27,13
488,Ingrid Andress,More Hearts Than Mine,20,30
489,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,18,6
490,Internet Money Featuring Juice WRLD & Trippie Redd,Blastoff,1,79
491,"Internet Money, Lil Tecca & A Boogie Wit da Hoodie",Somebody,4,96
492,J Balvin & Bad Bunny,La Cancion,8,84
493,J Balvin & Bad Bunny,Que Pretendes,5,65
494,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day),14,63
495,J. Cole,Lion King On Ice,2,51
496,J. Cole,Middle Child,27,4
497,J. Cole,Snow On Tha Bluff,2,54
498,J. Cole,The Climb Back,2,52
499,J.I The Prince Of N.Y,Need Me,2,95
500,JACKBOYS & Sheck Wes,GANG GANG,2,48
501,JACKBOYS Featuring Don Toliver,WHAT TO DO?,2,56
502,JACKBOYS Featuring Young Thug,Out West,22,38
503,"JACKBOYS, Pop Smoke & Travis Scott",GATTI,1,69
504,JP Saxe Featuring Julia Michaels,If The World Was Ending,29,27
505,Jack Harlow,Tyler Herro,8,34
506,Jack Harlow Featuring Big Sean,Way Out,1,74
507,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,45,2
508,Jacquees,You,12,58
509,Jake Owen,Down To The Honkytonk,13,65
510,Jake Owen,Homemade,16,39
511,Jameson Rodgers,Some Girls,16,29
512,Jason Aldean,Girl Like You,19,46
513,Jason Aldean,Got What I Got,25,16
514,Jason Aldean,Rearview Town,18,40
515,Jason Aldean,We Back,16,62
516,Jason Derulo,Take You Dancing,3,94
517,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),26,1
518,"Jhay Cortez, J Balvin & Bad Bunny",No Me Conoce,14,71
519,Jhene Aiko,Pu$$y Fairy (OTW),25,40
520,Jhene Aiko,Triggered,4,51
521,Jhene Aiko Featuring Big Sean,None Of Your Concern,3,55
522,Jhene Aiko Featuring Future & Miguel,Happiness Over Everything (H.O.E.),1,65
523,Jhene Aiko Featuring H.E.R.,B.S.,20,24
524,Jimmie Allen,Best Shot,20,37
525,Jimmie Allen,Make Me Want To,10,49
526,Joel Corry X MNEK,Head & Heart,1,99
527,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over),2,42
528,John Legend,Conversations In The Dark,1,86
529,John Legend,Happy Xmas (War Is Over),1,69
530,John Mayer,I Guess I Just Feel Like,1,94
531,John Rich Featuring The Five,Shut Up About Politics,1,91
532,Joji,Run,1,68
533,Joji,Sanctuary,1,80
534,Joji,Slow Dancing In The Dark,13,69
535,Jon Pardi,Ain't Always The Cowboy,16,55
536,Jon Pardi,Heartache Medication,20,42
537,Jon Pardi,Night Shift,16,56
538,Jonas Brothers,Cool,17,27
539,Jonas Brothers,Like It's Christmas,4,44
540,Jonas Brothers,Only Human,36,18
541,Jonas Brothers,Sucker,47,1
542,Jonas Brothers,What A Man Gotta Do,12,16
543,Jonas Brothers Featuring Karol G,X,7,33
544,Jordan Davis,Slow Dance In A Parking Lot,19,37
545,Jordan Davis,Take It From Me,13,46
546,Jose Feliciano,Feliz Navidad,13,10
547,Joyner Lucas Featuring Logic,Isis,2,59
548,Juice WRLD,Armed And Dangerous,17,44
549,Juice WRLD,Bad Energy,2,16
550,Juice WRLD,Blood On My Jeans,4,12
551,Juice WRLD,Can't Die,2,50
552,Juice WRLD,Conversations,6,7
553,Juice WRLD,Empty,4,41
