,keywords
1231,"{'shoot': 63, 'know': 8, 'play': 6, 'let': 6, 'tuck': 6, 'pour': 6, 'safe': 5, 'stiff': 5, 'glock': 5, 'brr': 5, 'money': 4, 'shit': 4, 'club': 4, 'niggas': 4, 'baw': 4, 'tell': 3, 'bop': 3, 'face': 3, 'fn': 3, 'glocks': 3, 'dracos': 3, 'rugers': 3, 'nigga': 3, 'sober': 3, 'fuck': 3, 'bootin': 3, 'loosen': 3, 'tool': 3, 'elliot': 3, 'bitch': 3, 'count': 3, 'come': 3, 'pow': 3, 'mean': 2, 'straight': 2, 'damn': 2, ""goin'"": 2, 'runnin': 2, 'boot': 2, 'cut': 2, 'hit': 2, 'mula': 2, 'diamond': 2, 'lot': 2, 'girl': 2, 'gun': 2, 'round': 2, 'try': 2, 'drinkin': 2, 'liberty': 2, 'zaytoven': 1, 'buddah': 1, 'bless': 1, 'beat': 1, 'bow': 1, 'gettin': 1, 'suck': 1, 'slut': 1, 'pay': 1, 'kill': 1, 'favorite': 1, 'shooter': 1, 'vacation': 1, 'power': 1, 'cougar': 1, 'owe': 1, 'little': 1, 'jeweler': 1, 'elliante': 1, 'fante': 1, 'cooler': 1, 'band': 1, 'pant': 1, 'france': 1, 'chicago': 1, 'like': 1, 'rapper': 1, 'chance': 1, 'range': 1, 'rover': 1, 'lamb': 1, 'usin': 1, 'counter': 1, 'hand': 1, 'inside': 1, 'fan': 1, 'man': 1, 'sizzurp': 1, 'fuckin': 1, 'good': 1, 'necklace': 1, 'blizzard': 1, 'shootin': 1, 'shot': 1, 'dr.': 1, 'j': 1, 'dollar': 1, 'talk': 1, 'steppin': 1, 'hip': 1, 'oil': 1, 'downin': 1, 'pill': 1, 'delirious': 1, 'statue': 1, 'middle': 1, 'east': 1, 'drippin': 1, 'spend': 1, 'epitome': 1, 'pluto': 1, 'big': 1, 'kennedy': 1, 'ridin': 1, 'lil': 1, 'vibe': 1, 'run': 1, 'hide': 1, 'die': 1, 'pop': 1, 'geeke': 1, 'boy': 1}"
1232,"{'swish': 26, 'woo': 13, 'money': 12, 'dope': 11, 'bitch': 8, 'sleepin': 7, 'mama': 6, 'gucci': 6, 'moody': 6, 'liter': 5, 'beater': 5, 'servin': 5, 'baby': 5, 'heater': 4, 'house': 4, 'fillin': 4, 'wife': 4, 'gettin': 4, 'different': 4, 'new': 4, 'freebandz': 3, 'floor': 3, 'caesar': 3, 'fly': 3, 'eagle': 3, 'wear': 3, 'vici': 3, 'venchy': 3, 'rulin': 3, 'power': 3, 'sex': 3, 'cut': 3, 'ring': 3, 'baguette': 3, 'drinkin': 3, 'syrup': 3, 'hit': 3, 'net': 3, 'pluto': 3, 'shit': 3, 'fit': 3, 'boy': 3, 'door': 3, 'serve': 2, 'suckin': 2, 'buy': 2, 'cuff': 2, 'look': 2, 'pull': 2, 'counter': 2, 'suck': 2, 'pocket': 2, 'sumo': 2, 'glucose': 2, 'ghost': 2, 'nigga': 2, 'talk': 2, 'know': 2, 'lil': 2, 'uzi': 2, 'stay': 2, 'motherfucker': 2, 'home': 2, 'frrp': 2, 'super': 1, 'd.': 1, 'hill': 1, 'people': 1, 'loudy': 1, 'luna': 1, 'diva': 1, 'hater': 1, ""havin'-i'm"": 1, ""havin'"": 1, ""somethin'"": 1, 'cuddlin': 1, 'south': 1, 'france': 1, 'culture': 1, 'poppin': 1, 'xans': 1, 'company': 1, 'try': 1, 'oxycontin': 1, 'wash': 1, 'cash': 1, 'laundry': 1, 'livin': 1, 'luxu': 1, 'luxury': 1, 'country': 1, ""beggin'-beggin"": 1, 'continent': 1, 'honor': 1, 'trust': 1, 'judge': 1, 'ice': 1, 'glistenin': 1, 'ocean': 1, 'smash': 1, 'hittin': 1, 'nana': 1, 'count': 1, 'cockeyed': 1, 'snapchat': 1, 'girl': 1, 'viral': 1, 'gang': 1, 'fuckin': 1, 'band': 1, 'think': 1, 'counterfeit': 1, 'balenci': 1, 'number': 1, 'n)ine': 1, 'vibe': 1, 'dick': 1, 'big': 1, 'fat': 1, 'bring': 1, 'phantom': 1, 'beef': 1, 'roast': 1, 'bread': 1, 'toast': 1, 'wanna': 1, 'touch': 1, 'earlobe': 1, 'run': 1, 'motherfuckin': 1, 'pullin': 1, 'toodles': 1, 'kick': 1, 'judo': 1, 'walk': 1, 'beat': 1, 'toe': 1, 'double': 1, 'm': 1, 'truck': 1, 'tone': 1, 'dog': 1, 'redbone': 1, 'white': 1, 'cup': 1, 'styrofoam': 1, 'grr': 1, 'pill': 1, 'phone': 1, 'dome': 1, 'lie': 1, 'young': 1, 'wait': 1, 'let': 1}"
1233,"{'country': 8, 'tell': 6, 'song': 6, 'turn': 4, 'small': 3, 'story': 3, 'hallelujah': 3, 'little': 3, 'hell': 3, 'roll': 3, 'lane': 3, 'highway': 3, 'radio': 3, 'hit': 3, 'baby': 3, 'drive': 2, 'town': 2, 'anthem': 2, 'grow': 1, 'tractor': 1, 'daddy': 1, 'let': 1, 'whiskey': 1, 'bentandhell': 1, 'bind': 1, 'thoughyour': 1, 'mama': 1, 'try': 1, 'cruise': 1, 'downa': 1, 'backroad': 1, 'dixieland': 1, 'delight': 1, 'chattahoochee': 1, 'abarefootbluejean': 1, 'night': 1, 'gota': 1, 'ex': 1, 'live': 1, 'texas': 1, 'lonesome': 1, 'cry': 1, 'heart': 1, 'break': 1, 'know': 1, 'truck': 1, 'friend': 1, 'low': 1, 'place': 1, 'neon': 1, 'moon': 1, 'cool': 1, 'strawberry': 1, 'wine': 1, 'family': 1, 'tradition': 1, 'raise': 1, 'cup': 1, 'time': 1, 'listen': 1}"
1234,"{'plastic': 18, 'bitch': 17, 'swap': 9, 'glock': 7, 'stick': 6, 'trap': 6, 'legit': 6, 'light': 6, 'shoot': 6, 'miss': 6, 'catch': 6, 'fit': 6, 'squirt': 6, 'church': 6, 'switch': 6, 'purse': 6, 'vert': 6, 'cartier': 5, 'purple': 5, 'tint': 5, 'percent': 5, 'fn': 5, 'rack': 4, 'loot': 4, 'got': 3, 'late': 3, 'woo': 3, 'swoosh': 2, 'dirty': 2, 'case': 2, 'beat': 2, 'verdict': 2, 'door': 2, 'tone': 2, 'sell': 2, 'dope': 2, 'swipe': 2, 'jojo': 2, 'stack': 2, 'gettin': 2, 'spendin': 2, 'stay': 2, 'mac': 2, 'week': 2, 'street': 2, 'moon': 2, 'niggas': 2, 'takin': 2, 'soul': 2, 'road': 2, 'buff': 1, 'coupe': 1, 'drank': 1, 'buy': 1, 'love': 1, 'girl': 1, 'sellin': 1, ""f'real"": 1, 'sip': 1, 'sizzurp': 1, 'nother': 1, 'world': 1, 'california': 1, 'rari': 1, 'raphael': 1, 'saadiq': 1, 'upper': 1, 'eche': 1, 'lon': 1, 'don': 1, 'pimpin': 1, 'bond': 1, 'candy': 1, 'dawn': 1, 'drophead': 1, 'rolls': 1, 'suicide': 1, 'hoe': 1, 'clothe': 1, 'big': 1, 'body': 1, 'maybach': 1, 'cuban': 1, 'choke': 1, 'cash': 1, 'check': 1, ""doin'"": 1, 'stoppin': 1, 'k': 1, 'ci': 1, 'baby': 1, 'fat': 1, 'lil': 1, 'uzi': 1, 'freak': 1, 'day': 1, 'brick': 1, 'crack': 1, 'spend': 1, 'tooth': 1, 'way': 1, 'man': 1, 'dawg': 1, 'lock': 1, 'goon': 1, 'nigga': 1, 'know': 1, 'drop': 1, 'uncle': 1, 'luke': 1, 'june': 1, 'try': 1, 'act': 1, 'stiff': 1, 'cartoon': 1}"
1235,"{'draco': 9, 'know': 7, 'way': 7, 'dawg': 6, 'come': 5, 'cool': 4, 'nigga': 4, 'fuckin': 4, 'star': 4, 'street': 4, 'rockstar': 3, 'chain': 3, 'floor': 3, 'tryna': 3, 'rap': 3, 'ho': 3, 'addys': 3, 'count': 3, 'm': 3, 'doze': 3, 'drivin': 3, 'feel': 3, 'autopilot': 3, 'designer': 3, 'goyard': 3, 'bucket': 3, 'stylist': 3, 'brother': 3, 'wildin': 3, ""nothin'"": 3, 'crush': 3, 'heart': 3, 'real': 2, 'start': 2, 'trench': 2, 'play': 2, 'smart': 2, 'energy': 2, 'coolest': 2, 'thing': 2, ""niggas'd"": 2, 'send': 2, 'hit': 2, 'turn': 2, 'secret': 2, 'shit': 1, 'torey': 1, 'sayin': 1, 'kickin': 1, 'b': 1, 'milli': 1, 'plead': 1, 'guilty': 1, 'find': 1, 'friend': 1, 'win': 1, 'wear': 1, 'sleeve': 1, 'cordial': 1, 'chemistry': 1, 'night': 1, 'boost': 1, 'thankin': 1, 'curiosity': 1, 'bitch': 1, 'true': 1, 'loyal': 1, 'dollar': 1, 'head': 1, 'billi': 1, 'clip': 1, 'hold': 1, 'ice': 1, 'cartier': 1, 'frame': 1, 'chrome': 1, 'hearts': 1, 'niggas': 1, 'solid': 1, 'claim': 1, 'weather': 1, 'leave': 1, 'sympathy': 1, 'enemy': 1, 'playin': 1, 'card': 1, 'sittin': 1, 'life': 1, 'lead': 1, 'squash': 1, 'beef': 1, 'stop': 1, 'blitz': 1, 'loyalty': 1, 'betrayal': 1}"
1236,"{'bitch': 60, 'bad': 41, 'buy': 40, 'body': 7, 'patek': 6, 'wrist': 6, 'money': 6, 'talk': 4, 'pink': 4, 'tell': 4, 'gettin': 4, 'spend': 3, 'check': 3, 'diamond': 3, 'philippe': 3, 'sleep': 3, 'exorcist': 3, 'thank': 3, 'new': 3, 'big': 2, 'like': 2, 'nother': 2, 'speak': 2, 'eat': 2, 'ruth': 2, 'chris': 2, 'table': 2, 'swordfish': 2, 'fn': 2, 'blue': 2, 'tip': 2, 'bleu': 2, 'corbin': 2, 'itty': 2, 'bitty': 2, 'ass': 2, 'lift': 2, 'water': 2, 'splash': 2, 'team': 2, 'red': 2, 'visine': 2, 'fiend': 2, 'belt': 2, 'jean': 2, 'throw': 2, 'win': 2, 'trance': 2, 'band': 2, 'add': 2, 'pop': 2, 'man': 1, 'pluto': 1, 'bro': 1, ""mu'fucka"": 1, 'good': 1, 'investment': 1, 'dj': 1, 'escomoe': 1, 'niggas': 1, 'afford': 1, 'plastic': 1, 'feel': 1, 'curry': 1, 'glass': 1, 'splashin': 1, 'drippin': 1, 'mean': 1, 'killin': 1, 'bih': 1, 'wanna': 1, 'lick': 1, 'spit': 1, 'want': 1, 'ho': 1, 'clean': 1, 'eye': 1, 'stripe': 1, 'supreme': 1, 'cook': 1, 'watch': 1, 'star': 1, 'pocket': 1, 'drip': 1, 'karat': 1, 'flyin': 1, 'paris': 1, 'purest': 1, 'rare': 1, 'different': 1, 'colored': 1, 'stone': 1, 'neck': 1, 'parish': 1, 'lookin': 1, 'score': 1, 'average': 1, 'hoe': 1, 'starin': 1, 'hit': 1, 'horsepower': 1, 'order': 1, 'garment': 1, 'buyin': 1, 'mall': 1, 'baguette': 1, 'morning': 1, 'bringin': 1, 'breakin': 1, 'digit': 1, 'change': 1, 'wardrobe': 1, 'milli': 1, 'swap': 1, 'rapper': 1, 'closet': 1, 'nigga': 1, 'loud': 1, 'stackin': 1, 'pilin': 1, 'fly': 1, 'girl': 1, 'island': 1, 'fuckin': 1, 'boss': 1, 'litty': 1, 'spanish': 1, 'lil': 1, 'hottie': 1, 'papi': 1, 'transportation': 1, 'switch': 1, 'style': 1, 'fillin': 1, 'maybach': 1, 'mac': 1, 'capital': 1, 'jet': 1, 'count': 1, 'blow': 1, 'sellin': 1, 'hot': 1, 'mix': 1, 'shawty': 1, 'glock': 1, 'vest': 1, 'pourin': 1, 'lean': 1, 'sex': 1, 'pour': 1, 'x': 1, 'drinkin': 1, 'tech': 1, 'ice': 1, 'chain': 1, 'fridge': 1, ""goin'"": 1, 'moon': 1, 'space': 1, 'cadet': 1, 'strength': 1, 'bless': 1, 'outta': 1, 'let': 1, 'drop': 1, 'year': 1, 'nasty': 1}"
1238,"{'da': 18, 'let': 10, 'la': 8, 'know': 7, 'fall': 6, 'monster': 6, 'break': 3, 'liftin': 3, 'na': 3, 'pedestal': 2, 'good': 2, 'trip': 2, 'sin': 2, 'tell': 1, 'raise': 1, 'sky': 1, 'short': 1, 'breath': 1, 'fill': 1, 'confidence': 1, 'chest': 1, 'spill': 1, 'word': 1, 'tear': 1, ""nothin'"": 1, 'leave': 1, 'rearrange': 1, 'piece': 1, 'fit': 1, 'rest': 1, 'world': 1, 'big': 1, 'dream': 1, ""doin'"": 1, 'memory': 1, 'bad': 1, 'tryin': 1, 'act': 1, 'cool': 1, 'upset': 1, 'jealousy': 1, 'tearin': 1, 'responsibility': 1, 'holdin': 1, 'holy': 1, 'chip': 1, 'shoulder': 1, 'unforgiveness': 1, 'control': 1, 'come': 1, 'intention': 1, 'wanna': 1}"
1239,"{'ody': 172, 'body': 22, 'waist': 10, 'lil': 9, 'big': 9, 'titty': 9, 'crazy': 8, 'curvy': 8, 'wavy': 8, 'hot': 5, 'shit': 4, 'know': 4, 'num': 4, 'bitch': 4, 'mwah': 3, 'look': 3, 'eat': 3, 'real': 2, 'megan': 2, 'beef': 2, 'rule': 2, 'number': 2, 'repeat': 2, 'come': 2, 'ass': 2, 'tryna': 2, 'girl': 1, 'beat': 1, 'ju': 1, 'good': 1, 'wanna': 1, 'saucy': 1, 'barbecue': 1, 'baby': 1, 'dress': 1, 'feel': 1, 'taste': 1, 'foreplay': 1, 'heat': 1, 'present': 1, 'absent': 1, 'speakin': 1, 'thre': 1, 'scary': 1, 'cat': 1, 'carole': 1, 'baskins': 1, 'baow': 1, 'ebony': 1, 'click': 1, 'picture': 1, 'gettin': 1, 'nigga': 1, 'quarantine': 1, 'tell': 1, 'ho': 1, 'year': 1, 'trip': 1, 'creep': 1, 'tip': 1, 'fuck': 1, 'category': 1, 'way': 1, 'sittin': 1, 'ratio': 1, 'control': 1, 'titties': 1, 'buy': 1, 'drink': 1, 'pantie': 1, 'build': 1, 'house': 1, 'brick': 1, 'spend': 1, 'lifetime': 1, 'head': 1, 'pop': 1, 'play': 1, 'touch': 1}"
1241,"{'stay': 20, 'know': 10, 'night': 2, 'day': 2, 'heart': 1, 'sayin': 1, 'connect': 1, 'g': 1, 'end': 1, 'world': 1, 'present': 1, 'shine': 1, 'pearl': 1, 'star': 1}"
1242,"{'problem': 8, 'kinda': 4, 'girl': 4, 'number': 4, 'somebody': 4, 'love': 4, 'goodbye': 3, 'find': 3, 'good': 3, 'day': 3, 'bad': 3, 'night': 3, 'reason': 3, 'leavin': 3, 'porch': 3, 'light': 3, 'thinkin': 3, 'tan': 3, 'line': 3, 'drown': 3, 'heartbreaker': 3, 'blue': 3, 'eye': 3, 'stand': 2, 'know': 2, ""goin'"": 2, 'bama': 1, 'red': 1, '4runner': 1, 'pull': 1, 'party': 1, 'sticker': 1, 'windshield': 1, 'tone': 1, 'tank': 1, 'shoulder': 1, 'step': 1, 'world': 1, 'sh': 1, 'problm': 1, 'lose': 1, 'friend': 1, 'tell': 1, 'f': 1, 'tryin': 1, 'slidin': 1, 'summer': 1, 'talkin': 1, 'think': 1, 'likin': 1, 'like': 1, 'try': 1, 'baby': 1, 'wishin': 1, 'let': 1, 'fixin': 1}"
1243,"{'country': 6, 'town': 4, 'southern': 4, 'small': 3, 'drawl': 3, 'crowd': 3, 'clear': 3, 'drinkin': 3, 'beer': 3, 'friday': 3, 'night': 3, 'girl': 3, 'cutoff': 3, 'shakin': 3, 'hip': 3, 'trip': 3, 'buddy': 3, 'tell': 3, 'liar': 3, 'circle': 3, 'big': 3, 'truck': 3, 'fire': 3, 'dust': 3, 'tire': 3, 'cliché': 3, ""goin'"": 3, 'pop': 2, 'bear': 2, 'sound': 2, 'baby': 2, 'way': 1, 'talk': 1, 'guess': 1, 'product': 1, ""kneelin'down"": 1, 'ina': 1, 'door': 1, 'lock': 1, 'amillion': 1, 'people': 1, 'scene': 1, 'podunk': 1, 'choose': 1, 'stick': 1, 'damned': 1, 'folk': 1, 'backroad': 1, 'old': 1, 'sippin': 1, 'proof': 1, 'day': 1, 'blue': 1, 'good': 1, ""ol'"": 1, 'boy': 1, 'fade': 1, 'boot': 1, 'workin': 1, 'hell': 1, 'raiser': 1, 'ai': 1, 'breakin': 1, 'ground': 1, 'makin': 1, 'drop': 1, 'tailgater': 1, 'know': 1, 'think': 1, 'check': 1, 'resume': 1}"
1244,"{'mind': 12, 'time': 11, 'prisoner': 10, 'know': 10, 'let': 9, 'control': 8, 'try': 6, 'lock': 5, 'lord': 5, 'hard': 2, 'stay': 2, 'run': 2, 'wanna': 2, 'string': 1, 'feeling': 1, 'hand': 1, 'tie': 1, 'face': 1, 'ceiling': 1, 'fantasize': 1, 'replace': 1, 'city': 1, 'light': 1, 'escape': 1, 'need': 1, 'high': 1, 'taste': 1, 'heaven': 1, 'live': 1, 'forget': 1, 'love': 1, 'loud': 1}"
1245,"{'fly': 13, 'let': 12, 'room': 8, 'blue': 6, 'feelin': 6, 'brand': 6, 'new': 6, 'way': 3, 'zoom': 3, 'everyday': 1, 'feel': 1, 'day': 1, 'killin': 1, 'lonely': 1, 'find': 1, 'know': 1, 'break': 1, 'beautiful': 1, 'thing': 1, 'surreal': 1, 'nw': 1, 'yeh': 1, 'toy': 1, 'tv': 1, 'travel': 1, 'star': 1}"
1247,"{'wah': 10, 'come': 7, 'ass': 6, 'hate': 5, 'crybaby': 5, 'pussy': 5, 'waitin': 5, 'nigga': 5, 'ayy': 5, 'friend': 4, 'text': 4, 'shit': 3, 'lay': 3, 'sarah': 3, 'lil': 3, 'bitch': 3, 'fuck': 3, 'think': 3, 'real': 2, 'hot': 2, 'girl': 2, 'dababy': 2, 'baby': 2, 'mom': 2, 'bed': 2, 'boy': 2, 'mind': 2, 'respond': 2, 'want': 2, 'diamond': 2, 'sex': 2, 'ashley': 2, 'hand': 2, 'number': 2, 'trouble': 2, 'look': 2, 'hit': 2, 'thank': 2, 'need': 2, 'let': 2, 'd.a': 1, 'dope': 1, 'mmm': 1, 'keisha': 1, 'kei': 1, 'jasmine': 1, 'jas': 1, 'kiera': 1, 'megan': 1, 'lisa': 1, 'sierra': 1, 'knee': 1, 'air': 1, 'player': 1, 'record': 1, 'bend': 1, 'shake': 1, 'mirror': 1, 'goddamn': 1, 'shawty': 1, 'head': 1, 'good': 1, 'usin': 1, 'rubber': 1, 'way': 1, 'bounce': 1, 'love': 1, 'mouth': 1, 'mother': 1, 'type': 1, 'bae': 1, 'mad': 1, 'nba': 1, 'playoff': 1, 'bubble': 1, 'throw': 1, 'stomach': 1, 'toot': 1, 'hold': 1, 'open': 1, 'annihilate': 1, 'moan': 1, 'wanna': 1, 'wear': 1, 'hoodie': 1, 'choke': 1, 'spank': 1, 'spit': 1, 'slurp': 1, 'work': 1, 'fall': 1, 'hurt': 1, 'deep': 1, 'reaper': 1, 'cheek': 1, 'freak': 1, 'flavor': 1, 'week': 1, 'rule': 1, 'cheatin': 1, 'jordan': 1, 'tommy': 1, 'timothy': 1, 'daniel': 1, 'jonathan': 1, 'bring': 1, 'tryna': 1, 'brag': 1, 'man': 1, 'dad': 1, 'break': 1, 'heart': 1, 'lame': 1, 'save': 1, 'reply': 1, 'cry': 1, 'wet': 1}"
1249,"{'bitch': 16, 'nigga': 14, 'ass': 8, 'imagine': 5, 'fuckin': 5, 'shit': 5, 'goofy': 5, 'think': 4, 'want': 4, 'talkin': 4, 'know': 4, 'shot': 4, 'brrt': 3, 'real': 3, 'fuck': 3, 'let': 3, 'pussy': 3, 'takin': 3, 'buddah': 2, 'bless': 2, 'beat': 2, 'niggas': 2, 'feeling': 2, 'invite': 2, 'lock': 2, 'tell': 2, 'breonna': 2, 'taylor': 2, 'clout': 2, 'tryna': 2, 'dick': 2, 'ayy': 2, 'bad': 2, 'scared': 2, 'send': 2, 'baow': 1, 'lyin': 1, 'shootin': 1, 'save': 1, 'face': 1, 'rapper': 1, 'chill': 1, 'givin': 1, 'birthday': 1, 'thursday': 1, 'cockblockin': 1, 'dry': 1, 'bench': 1, 'believe': 1, 'week': 1, 'indict': 1, 'offer': 1, 'm': 1, 'talk': 1, 'guess': 1, 'friend': 1, 'excite': 1, 'cahoot': 1, 'puss': 1, 'boot': 1, 'shoot': 1, 'bone': 1, 'tendon': 1, 'bullet': 1, 'pellet': 1, 'gun': 1, 'backseat': 1, 'callin': 1, 'come': 1, ""lil'-ass"": 1, 'follower': 1, 'dollar': 1, 'remix': 1, 'poppin': 1, 'month': 1, 'justice': 1, 'chaser': 1, 'ho': 1, 'entertain': 1, 'blaow': 1, 'broke': 1, 'rich': 1, 'business': 1, 'pick': 1, 'slide': 1, 'thinkin': 1, 'slick': 1, 'lotta': 1, 'weak': 1, 'confuse': 1, 'hate': 1, 'watch': 1, 'video': 1, 'beatin': 1, 'snitch': 1, 'police': 1, 'chain': 1, 'snatch': 1, 'catch': 1, 'loss': 1, 'speakin': 1, 'fact': 1, 'handle': 1, 'guy': 1, 'mask': 1, 'choose': 1, 'ask': 1, 'motherfuckin': 1, 'cold': 1, 'bright': 1, 'star': 1, 'rolls': 1, 'pimpin': 1, 'action': 1, 'sayin': 1, 'ballin': 1, 'money': 1, 'toe': 1, 'patek': 1, 'content': 1, 'repeat': 1, 'killer': 1, 'pull': 1, 'deep': 1, 'bring': 1, 'clique': 1, 'watchin': 1, 'succeed': 1, 'knee': 1, 'attention': 1, 'steak': 1, 'plate': 1, 'shrimp': 1, 'stay': 1, 'place': 1, 'sellin': 1, 'fairytale': 1, 'facetime': 1, 'layin': 1, 'sabotagin': 1, ""somethin'"": 1, 'run': 1, 'bond': 1, 'aware': 1, 'shut': 1, 'scary': 1, 'profile': 1, 'pic': 1, 'mama': 1, 'kick': 1, 'remember': 1}"
1250,"{'killin': 24, 'kill': 9, 'livin': 6, 'good': 6, 'life': 5, 'think': 4, 'rockstar': 3, 'cop': 3, 'car': 3, 'suitcase': 3, 'trashin': 3, 'hotel': 3, 'bar': 3, 'sunrise': 3, 'stay': 3, 'night': 3, 'drinkin': 3, 'need': 3, 'damn': 3, 'judgin': 3, 'long': 3, 'hair': 3, 'care': 3, 'sittin': 3, 'sippin': 3, 'bitchin': 3, 'spot': 3, 'dream': 3, 'people': 3, 'mama': 2, 'pray': 2, 'seein': 2, 'world': 2, 'stranger': 2, 'mirror': 2, 'accordin': 2, 'picture': 2, 'success': 1, 'window': 1, 'b': 1, 'alcohol': 1, 'woman': 1, 'adderall': 1, 'adrenaline': 1, 'rest': 1, 'sign': 1, 'party': 1, 'look': 1, 'peopl': 1, 'th': 1, 'day': 1, 'venue': 1, 'trouble': 1, 'love': 1, 'menu': 1, 'lonely': 1, 'eagle': 1, 'meet': 1, 'friend': 1}"
1251,"{'pain': 8, 'nigga': 7, 'different': 6, 'tryna': 5, 'know': 5, 'rainy': 5, 'stay': 4, 'money': 4, 'day': 4, 'way': 4, 'blood': 3, 'niggas': 3, 'trench': 2, 'feel': 2, 'loyalty': 2, 'lawyer': 2, 'fee': 2, 'daughter': 2, 'pray': 2, 'hope': 2, 'save': 2, 'buy': 2, 'rolls': 2, 'truck': 2, 'diamond': 2, 'confidence': 2, 'judge': 2, 'shit': 2, 'ayy': 2, 'gang': 2, 'stain': 2, 'die': 2, 'hang': 2, 'today': 2, 'woman': 2, 'lynchin': 2, 'attention': 2, 'victim': 2, 'woo': 1, 'mud': 1, 'lookin': 1, 'killer': 1, 'figure': 1, 'sell': 1, 'richard': 1, 'porter': 1, 'wanna': 1, 'love': 1, 'crip': 1, 'trust': 1, 'spoil': 1, 'dawg': 1, 'fallin': 1, 'brick': 1, 'quarter': 1, 'key': 1, 'hand': 1, 'son': 1, 'eat': 1, 'cop': 1, 'lock': 1, 'opps': 1, 'slaughter': 1, 'loadin': 1, 'k': 1, 'advic': 1, 'night': 1, 'hit': 1, 'm': 1, 'come': 1, 'set': 1, 'stage': 1, 'god': 1, 'body': 1, 'throw': 1, 'shot': 1, 'graze': 1, 'let': 1, 'grave': 1, ""percocet'll"": 1, 'tellin': 1, 'washin': 1, 'bleach': 1, 'wash': 1, 'brother': 1, 'strange': 1, 'stranger': 1, 'hangin': 1, 'real': 1, 'lame': 1, 'lames': 1, 'bein': 1, 'count': 1, 'snake': 1, 'dawgs': 1, 'dollar': 1, 'cash': 1, 'durkio': 1, 'praise': 1, 'lose': 1, 'talk': 1, 'opposition': 1, 'sayin': 1, 'opp': 1, 'suspect': 1}"
1252,"{'dick': 38, 'bitch': 16, 'baow': 12, 'brr': 8, 'ice': 7, 'real': 6, 'bar': 5, 'nigga': 5, 'shit': 4, 'cold': 4, 'mad': 4, 'hoe': 4, 'ayy': 3, 'ass': 3, 'girl': 2, 'city': 2, 'doit': 2, 'break': 2, 'jeweler': 2, 'fix': 2, 'lookin': 2, 'freeze': 2, 'cream': 2, 'bet': 2, 'toilet': 2, 'water': 2, 'way': 2, 'look': 2, 'book': 2, 'fuck': 2, 'period': 2, 'know': 2, 'play': 2, 'big': 2, 'doll': 2, 'buy': 2, 'bag': 2, 'friend': 2, 'hot': 1, 'motherfuckin': 1, 'girls': 1, 'nevertrip': 1, 'anyold': 1, 'heart': 1, ""nothin'"": 1, 'chest': 1, 'cool': 1, 'fur': 1, 'piece': 1, 'mr.': 1, 'lot': 1, 'stone': 1, 'talkin': 1, 'arm': 1, 'sun': 1, 'melt': 1, 'whol': 1, 'team': 1, 'order': 1, 'srve': 1, 'want': 1, 'end': 1, 'simba': 1, 'scar': 1, 'think': 1, 'pregnant': 1, 'belly': 1, 'come': 1, 'ready': 1, 'premature': 1, 'skill': 1, 'puttin': 1, 'money': 1, 'stupid': 1, 'wanna': 1, 'argue': 1, 'couple': 1, 'unbothered': 1, 'speak': 1, 'notch': 1, 'list': 1, 'flex': 1, 'old': 1, 'country': 1, 'dress': 1, 'clap': 1, 'spazz': 1, 'sleep': 1, 'nap': 1, 'crash': 1, 'beg': 1, 'cry': 1, 'cast': 1, 'rich': 1, 'attitude': 1, 'r': 1, 'w': 1, 'kid': 1, 'cube': 1, 'peanut': 1, 'pussy': 1, 'eat': 1, 'soufflé': 1, 'ow': 1, 'son': 1, 'fuckboys': 1, 'press': 1, 'need': 1, 'patek': 1, 'tec': 1, 'chrome': 1, 'hearts': 1, 'baguette': 1, 'bread': 1, 'rest': 1, 'body': 1, 'build': 1, 'competition': 1, 'bakery': 1, 'bring': 1, 'cake': 1, 'boy': 1, 'baller': 1, 'pick': 1, 'wrong': 1, 'sure': 1, 'tag': 1, 'hater': 1, 'watchin': 1}"
